                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
anh16 sh      phosec  sh+     electr                 3.36E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 sh+     phosec  s+      h                      4.60E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 so      phosec  s       o                      5.54E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 so      phosec  so+     electr                 4.54E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 so2     phosec  so      o                      2.69E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 so2     phosec  so2+    electr                 1.05E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c-c3h   phosec  c3      h                      4.85E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c-c3h2  phosec  c3h     h                      6.87E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c3h     phosec  c3      h                      2.98E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2c3    phosec  c3h     h                      3.35E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c4      phosec  c3      c                      8.90E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c4      phosec  c2      c2                     8.90E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c4h     phosec  c4      h                      3.04E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c4h     phosec  c2h     c2                     3.04E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
jan11 c2h3    phosec  c2h2    h                      3.75E+03  0.00     0.00   2 ! 0     0 -  udfa06
jan11 c4h2    phosec  c4h     h                      1.73E+03  0.00     0.00   2 ! 10 41000 -  osu2005
